Country_df1,Country_df2,GDP_per_capita_PPP_2021,Perio_prev,Perio_prev_sd,Edent_prev,Edent_prev_sd,Pop,Pop_sd,Conversion,Dental Expenditure Per Capita,Consult_simple,Consult_simple_sd,Consult_perio,Consult_perio_sd,OPG,OPG_sd,PA,PA_sd,Prophy,Prophy_sd,RootDeb,RootDeb_sd,OHI,OHI_sd,Extraction,Extraction_sd,OFD,OFD_sd,GTR,GTR_sd,Single_implant,Single_implant_sd,Implant_surgery,Implant_surgery_sd,Full_fixed,Full_fixed_sd,Denture,Denture_sd,Denture_repair,Denture_repair_sd,Maintenance_simp,Maintenance_simp_sd,Maintenance_perio,Maintenance_perio_sd
Australia,Australia,58182.33695,0.1277,0.017525,0.0968,0.005325,25791946.41,447732.8525,1.3,288.25,53.42029558,8.251066141,58.39679833,17.14917268,94.61808102,3.816723337,33.63433824,0.677736618,79.71909089,1.230116365,206.637532,19.69557821,26.61973731,5.233048553,117.8060648,5.922569169,689.070997,73.40435874,456.4803691,75.25790348,2519.512003,105.0113754,1163.614291,129.3242611,27002.01645,1999.701794,409.8784379,34.26305337,133.3418598,0.560331263,105.1461798,8.992835073,172.7906124,8.204253426
Brazil,Brazil,18075.706,0.148,0.01445,0.1058,0.0073,220356039.8,15297843.74,5.4,17.68,17.54442334,4.686989221,22.10458828,6.686119481,15.25643846,3.24878801,3.389518829,0.627705444,39.91794505,4.288579703,40.70143132,11.50023747,13.63132679,1.233504583,24.44742426,5.706397472,61.49446575,11.95703739,81.71312653,3.821650261,270.6488458,58.00305264,145.8514592,53.03955587,2390.917391,67.77370815,86.36202313,26.96302913,22.99952138,3.187218343,59.27982646,4.961043202,33.26159314,10.41818494
Botswana,Botswana,17960.62544,0.0398,0.0073,0.047,0.0059,2393256.12,157811.0825,11.1,24.15,22.50654192,4.675211798,42.87382287,8.87353495,44.7132278,9.216870643,11.17262964,2.302993325,33.2794413,6.857558398,67.6217282,13.93482078,25.57921283,5.274894805,16.88384497,3.481425646,88.46173496,18.23139735,88.46173496,18.23139735,532.9755832,109.8449329,156.7756729,32.30979399,7523.998205,1550.702779,221.1334499,45.57303897,23.13152156,4.762249612,53.64662035,11.05596901,56.42681252,11.63272226
Canada,Canada,56995.11768,0.2088,0.01985,0.0542,0.0061,37469206.98,1349547.245,1.3,342.52,100.1764006,7.380002253,100.1764006,7.380002253,61.08553414,3.435881948,22.66449274,1.049233659,47.89743956,1.971951058,81.29342417,12.77695101,41.97062107,5.770123388,114.7724497,13.3124983,713.3577141,83.49619945,778.3754177,189.3233091,1965.936548,20.66927514,1211.665195,17.67766953,13768.57142,760.8762243,275.1231354,27.37852967,63.90128388,7.856533658,48.22670269,2.592745996,104.5678765,25.25020966
Switzerland,Switzerland,81001.41112,0.1534,0.0199,0.0763,0.0086,8922811.61,470227.665,0.91,493.73,41.38804924,4.703322276,222.3200953,25.26437162,196.1868558,22.29460015,24.00756935,2.728211109,52.2664791,5.939542934,274.5865744,31.20391455,45.76442907,5.200652426,65.39561859,7.431533384,152.5480969,17.33550809,697.4699053,79.26021648,1652.270945,187.7634458,837.0139022,95.11794355,16305.14085,1852.910045,662.7089456,75.30999414,30.50961938,3.467101617,102.4672355,12.87374617,137.2932872,15.60195728
Chile,Chile,29089.85046,0.1808,0.01925,0.0594,0.00685,18797847.24,886230.31,759,24.58,27.65910741,9.813514432,27.65910741,9.813514432,42.45723144,20.47879173,10.89715622,2.272325668,47.27386886,10.39612331,114.5385577,41.76311058,28.72769287,10.26503843,65.37203476,19.64737444,128.4944582,39.90357244,201.9508052,53.92386042,727.9339508,238.2564317,349.0823044,135.0998074,7535.276327,2087.651363,236.4774253,80.70840671,53.04260494,22.02686402,75.36747196,19.80991055,89.82404155,30.82755777
China,China,20843.29783,0.1616,0.01405,0.0489,0.00555,1422745953,53858190.02,6.4,43.96,2.091977969,0.389755978,4.106251723,1.573456953,7.154464016,0.850517272,1.31786354,0.170103454,11.4657436,2.976810451,25.04062406,1.364145922,2.83925e-4,7.37e-5,6.921919931,0.153329182,49.82871894,7.725557895,34.99627937,0.294627825,387.4874935,52.48052617,265.6250781,5.52e-5,1901.321475,753.9321113,70.63891443,19.7058171,3.577232008,0.425258636,11.4657436,2.976810451,11.4657436,2.976810451
Germany,Germany,62530.76532,0.2436,0.01985,0.0919,0.01075,85371847.52,4432829.985,0.8455,372.15,39.99256541,11.76181258,61.32600385,18.03586915,28.45282499,6.09849864,5.690446287,1.221978456,104.383301,30.76264841,127.4497407,37.47772706,26.66395146,7.841158759,19.52407241,7.634831396,146.6505788,43.1207992,106.6400026,31.37028317,947.2115344,278.5682633,779.7649988,229.3238304,3774.204488,1109.959919,293.2922776,86.25579307,107.9896,31.75785965,117.7119187,34.68330287,113.2239827,33.34473198
Spain,Spain,44251.66582,0.0388,0.0074,0.0761,0.00925,45549328.18,2181919.985,0.8455,178.03,0.0143879,5.607655327,48.76866862,7.926676874,35.12438947,16.66133326,0.08363179,1.478119456,31.54842241,8.624369909,65.29491772,11.0550977,0.001406513,2.56069e-4,28.21776684,10.66407803,159.6584917,34.09880469,293.9507836,58.81877928,1122.019705,185.1671928,697.621439,119.4527112,8223.148593,1526.734513,395.7473702,39.49687799,66.32099487,10.09141526,47.6040492,8.643450241,60.97033695,9.595881073
France,France,52517.33549,0.1092,0.0164,0.0795,0.0098,66389876.74,3541638.865,0.8455,195.39,27.2032328,3.21899e-4,65.57591214,7.811853822,42.3147104,18.39899372,16.36791853,1.655909434,41.90263077,9.773696918,89.27823394,8.444335979,0.001672636,4.18159e-4,39.55115316,4.18159e-4,190.9967486,39.9604921,555.6631457,89.38492804,1328.949673,78.56515144,703.3881579,69.03183784,12462.28625,543.6081765,774.3050038,54.2321084,93.99324612,5.134269083,58.20695274,14.20121235,77.29030729,9.441908467
United Kingdom,United Kingdom,51004.42717,0.0645,0.02105,0.0858,0.00825,67848390.1,1879922.465,0.74,143.22,12.73515077,19.69437868,0.461814306,31.45805371,0.012994985,30.83192733,0.003096461,5.708250586,0.095862048,25.83933881,0.038941156,60.60147486,0.291779258,10.49977477,0.522231078,41.91458482,810.8114865,6.75676e-4,965.0578957,168.9189189,3574.742072,338.0829941,2626.520011,284.8720731,18685.35121,1282.480669,399.8533105,121.9512605,0.001351351,0.001351351,50.26461959,22.33325883,64.40304008,29.61130822
Italy,Italy,49825.39341,0.158,0.01995,0.095,0.01175,59811452.41,2646731.84,0.8455,316.82,43.83076764,15.94852361,49.75413758,36.56353516,22.51421745,4.686056388,16.38984144,9.696650171,37.18341164,31.15579877,33.49453222,22.91976457,0.001672636,4.18159e-4,50.51501677,16.00161804,132.3089006,96.16498427,258.5318134,166.5550676,2129.070814,103.6324577,1272.440281,42.66709013,5160.093067,4570.464924,231.1190311,196.075535,107.980202,20.20948412,37.21178514,31.14975703,38.56022093,19.70423328
Japan,Japan,44355.34872,0.1402,0.01755,0.0352,0.00425,127697460,4688756.575,109.8,227.7,25.11284217,0.772794296,52.55506285,6.568751519,16.48426571,0.064399525,2.409609573,0.096599287,39.34426685,3.22e-6,41.16576047,3.22e-6,8.145967131,0.643995247,18.92951702,3.541973858,62.18473594,3.541973858,81.357783,3.541973858,1415.110172,48.29964674,1387.208216,48.29964352,557.3771403,6.44e-5,106.3175106,13.84589781,3.863971482,0.96599287,39.34426685,3.22e-6,53.42816824,7.9533413
"Korea, Rep.","Korea, Rep.",48419.64325,0.1402,0.01755,0.0352,0.00425,51570479.89,1778108.565,1100,139.93,14.74602308,1.051325748,24.10849733,1.965849918,11.10288114,1.123683463,3.477731252,0.351725468,33.46378095,2.385773376,35.9763095,2.56530561,1.57e-5,3.46e-6,4.239639338,0.303109485,87.8908782,6.268242402,118.4412078,8.447206909,1113.473926,90.92919121,531.993769,43.44382461,11629.60314,949.7073319,75.01653609,6.126832348,58.89153732,4.199713948,11.28033057,0.805957159,52.61487138,3.981310954
Rwanda,Rwanda,2733.435668,0.0748,0.01295,0.011,0.00135,13270032.61,857865.7875,988.6,0.28,1.611736942,1.380740427,2.74269852,2.349610925,0.805868471,0.690370214,0.402934236,0.345185107,1.889878258,1.619018119,4.953825879,4.24383625,1.611736942,1.380740427,3.280584835,2.81040658,5.127355308,4.392495186,5.127355308,4.392495186,31.57384432,27.0486344,10.254710620000001,8.784990371,426.3826742,365.2728807,64.6177465,55.3566358,9.231106643,7.908090829,3.5016152,2.999758547,3.023310983,2.590005595
Sweden,Sweden,62731.70062,0.1277,0.01705,0.0813,0.011925,10373513.22,501995.075,8.6,327.04,126.7685604,8.491397995,237.3348767,44.31334173,105.0934127,28.2950161,11.61820897,2.243379245,71.66678444,10.50586382,226.6916882,70.17678364,59.46366436,1.141054375,179.2937291,35.45173213,801.4838026,82.97738294,259.4912754,3.250098805,2892.330178,348.2541251,1019.802001,246.2193309,13529.99123,1426.275788,1158.518311,250.9570432,222.9484409,27.45424836,152.018811,6.659134412,162.7682001,4.905308916
Tanzania,Tanzania,3493.083008,0.0712,0.01165,0.0097,0.001125,58447852.23,3497644.898,2300,0.01,1.770272359,1.516554314,1.770272359,1.516554314,5.900907862,5.055181047,2.360363145,2.022072419,17.70272359,15.16554314,17.70272359,15.16554314,1.770272359,1.516554314,5.900907862,5.055181047,35.40544717,30.33108628,35.40544717,30.33108628,295.0453931,252.7590524,247.8381302,212.317604,944.1452579,808.8289676,82.61271007,70.77253466,4.130635504,3.538626733,19.47299595,16.68209746,19.47299595,16.68209746
United States,United States,71307.40173,0.0897,0.00925,0.1341,0.01205,332643423.7,12103744.88,1,405.46,71.43425418,13.28878312,107.2572807,23.47395322,101.5575257,17.30178936,24.99641789,4.631431399,76.40150736,14.10464162,200.8907574,43.22961629,47.88746787,10.85595928,133.140852,35.60421117,583.3590633,155.3715362,681.9899505,210.0857955,3293.965833,360.2719138,2073.65454,230.9960718,24402.44856,2592.919133,1893.793227,255.9405313,166.7532055,41.46172651,119.7257566,22.53505028,156.256514,33.12471657
Taiwan,Taiwan,64700,0.160668689,0.020225,0.0466,0.0059,23636689.39,5932771.753,28,269.82,8.214303571,1.26e-5,62.65752296,20.75666164,21.42858929,1.26e-5,2.857160714,1.26e-5,21.42858929,1.26e-5,35.71428571,5.682108063,36.78155614,8.548456319,24.19626384,4.924493655,138.6896587,25.25381361,757.6144084,154.6473935,1636.634177,412.3930494,6434.588842,3938.461577,976.9874285,253.1686943,96.13505841,28.23462197,29.64289286,2.06e-5,29.64289286,2.53e-5,188.075824,47.91574237
